customer_id,total_revenue,total_orders,tenure_days,status,avg_order_value,purchase_frequency,historical_clv,predicted_clv
CUST1000,391.04999999999995,1,775,active,391.04999999999995,0.3201754385964912,391.04999999999995,175.28644736842102
CUST1001,512.16,1,415,active,512.16,0.46794871794871795,512.16,335.5304615384615
CUST1002,1208.28,1,86,cancelled,1208.28,0.8093126385809313,1208.28,1369.0267849223947
CUST1003,338.64,1,205,paused,338.64,0.6403508771929824,338.64,303.5877894736842
CUST1004,438.62,1,1375,active,438.62,0.20977011494252876,438.62,128.81311494252876
CUST1005,1772.88,1,820,active,1772.88,0.3080168776371308,1772.88,764.5077468354432
CUST1006,702.96,1,827,active,702.96,0.3062080536912752,702.96,301.35281879194633
CUST1007,47.800000000000004,1,904,active,47.800000000000004,0.28762805358550037,47.800000000000004,19.248069345941687
CUST1008,1525.8,1,1341,paused,1525.8,0.21395076201641267,1525.8,457.0245017584994
CUST1009,1348.96,1,1086,active,1348.96,0.25155065472088217,1348.96,475.0644796691937
CUST1010,1218.3000000000002,1,667,active,1218.3000000000002,0.3536821705426357,1218.3000000000002,603.2473837209303
CUST1011,940.17,1,1124,active,940.17,0.24513096037609133,940.17,322.6506850235057
CUST1012,1519.11,1,757,active,1519.11,0.3253119429590018,1519.11,691.8584759358289
CUST1013,1894.16,1,1389,active,1894.16,0.2080957810718358,1894.16,551.8333865450398
CUST1014,781.92,1,1517,active,781.92,0.19394261424017,781.92,212.30665249734318
CUST1015,1001.97,1,684,cancelled,1001.97,0.34795042897998096,1001.97,488.09024785510013
CUST1016,1875.08,1,1488,active,1875.08,0.19697787371829464,1875.08,517.0889800323798
CUST1017,1267.44,1,1055,cancelled,1267.44,0.25704225352112675,1267.44,456.0998873239436
CUST1018,1702.39,1,595,paused,1702.39,0.38020833333333337,1702.39,906.1680104166668
CUST1019,1596.64,1,1064,paused,1596.64,0.2554233729881036,1596.64,570.946843946816
CUST1020,1452.18,1,681,active,1452.18,0.3489483747609943,1452.18,709.4301912045889
CUST1021,355.46000000000004,1,503,paused,355.46000000000004,0.4205069124423963,355.46000000000004,209.26274193548386
CUST1022,539.22,1,57,active,539.22,0.8649289099526067,539.22,652.9417535545024
CUST1023,418.72,1,1499,active,418.72,0.1958154506437768,418.72,114.78858369098712
CUST1024,698.01,1,290,active,698.01,0.5572519083969465,698.01,544.5543664122137
CUST1025,714.4499999999999,1,214,cancelled,714.4499999999999,0.6303972366148531,714.4499999999999,630.5422279792745
CUST1026,312.83,1,721,paused,312.83,0.3360957642725598,312.83,147.19717311233885
CUST1027,975.1000000000001,1,339,cancelled,975.1000000000001,0.5184659090909091,975.1000000000001,707.7785511363636
CUST1028,1197.2,1,1401,active,1197.2,0.20668176670441674,1197.2,346.4151755379388
CUST1029,942.5999999999999,1,1308,cancelled,942.5999999999999,0.2181709503885236,942.5999999999999,287.90711297071124
CUST1030,1642.77,1,43,active,1642.77,0.8946078431372548,1642.77,2057.4888970588236
CUST1031,31.95,1,702,paused,31.95,0.3420805998125586,31.95,15.301265229615746
CUST1032,1609.54,1,168,cancelled,1609.54,0.6848030018761727,1609.54,1543.1049530956848
CUST1033,1661.9,1,184,active,1661.9,0.6648451730418943,1661.9,1546.8686703096537
CUST1034,1292.65,1,1516,active,1292.65,0.19404572036150983,1292.65,351.16648059542797
CUST1035,254.73000000000002,1,865,active,254.73000000000002,0.2967479674796748,254.73000000000002,105.82685365853658
CUST1036,554.3299999999999,1,164,paused,554.3299999999999,0.6899810964083176,554.3299999999999,535.4681096408317
CUST1037,376.24,1,52,active,376.24,0.8752997601918464,376.24,461.05189448441234
CUST1038,1572.96,1,497,paused,1572.96,0.42343387470997684,1572.96,932.4623665893272
CUST1039,123.30000000000001,1,740,active,123.30000000000001,0.33031674208144796,123.30000000000001,57.01927601809955
CUST1040,1016.15,1,821,active,1016.15,0.3077571669477234,1016.15,437.8184232715008
CUST1041,455.48999999999995,1,983,active,455.48999999999995,0.2707715133531157,455.48999999999995,172.66720326409492
CUST1042,1954.64,1,662,paused,1954.64,0.3554040895813047,1954.64,972.5618695228819
CUST1043,132.86,1,402,active,132.86,0.4758800521512386,132.86,88.51559322033899
CUST1044,1963.6799999999998,1,640,cancelled,1963.6799999999998,0.36318407960199006,1963.6799999999998,998.44823880597
CUST1045,1670.8500000000001,1,538,active,1670.8500000000001,0.40420819490586934,1670.8500000000001,945.5197674418605
CUST1046,1098.75,1,665,active,1098.75,0.35436893203883496,1098.75,545.1080097087379
CUST1047,1561.3500000000001,1,361,active,1561.3500000000001,0.5027548209366391,1561.3500000000001,1098.96673553719
CUST1048,599.52,1,739,paused,599.52,0.33061594202898553,599.52,277.4952173913043
CUST1049,1487.43,1,932,active,1487.43,0.28141865844255975,1487.43,586.0267771781033
CUST1050,1780.96,1,1447,paused,1780.96,0.2014348785871965,1780.96,502.24644591611485
CUST1051,90.34,1,220,active,90.34,0.6239316239316239,90.34,78.91237606837608
CUST1052,1095.6,1,1722,active,1095.6,0.17489218974604695,1095.6,268.2566363200766
CUST1053,969.1200000000001,1,315,cancelled,969.1200000000001,0.5367647058823529,969.1200000000001,728.2651764705882
CUST1054,312.0,1,359,cancelled,312.0,0.5041436464088398,312.0,220.20994475138122
CUST1055,754.8,1,117,cancelled,754.8,0.7572614107883817,754.8,800.2132780082986
CUST1056,944.08,1,135,active,944.08,0.7300000000000001,944.08,964.8497600000001
CUST1057,174.8,1,715,active,174.8,0.3379629629629629,174.8,82.70629629629629
CUST1058,1476.1000000000001,1,756,active,1476.1000000000001,0.3256021409455843,1476.1000000000001,672.8698483496878
CUST1059,1811.3,1,1098,paused,1811.3,0.24948735475051267,1811.3,632.655023923445
CUST1060,1720.38,1,36,cancelled,1720.38,0.9102244389027431,1720.38,2192.3046882793014
CUST1061,312.12,1,742,active,312.12,0.32971996386630537,312.12,144.07707317073172
CUST1062,1483.88,1,876,paused,1483.88,0.29411764705882354,1483.88,611.0094117647059
CUST1063,1683.9,1,469,active,1683.9,0.4376498800959233,1683.9,1031.7420863309355
CUST1064,1795.65,1,210,cancelled,1795.65,0.6347826086956522,1795.65,1595.786347826087
CUST1065,1378.68,1,1669,paused,1378.68,0.17944936086529006,1378.68,346.36454277286134
CUST1066,969.3000000000001,1,272,cancelled,969.3000000000001,0.5729984301412873,969.3000000000001,777.5703296703297
CUST1067,541.89,1,1132,active,541.89,0.24382097528390112,541.89,184.97380761523044
CUST1068,1217.67,1,473,active,1217.67,0.43556085918854415,1217.67,742.5171479713604
CUST1069,1572.6000000000001,1,1251,active,1572.6000000000001,0.2258663366336634,1572.6000000000001,497.27636138613866
CUST1070,1398.3899999999999,1,508,active,1398.3899999999999,0.41809851088201605,1398.3899999999999,818.5306872852233
CUST1071,1095.48,1,874,active,1095.48,0.294592413236481,1095.48,451.8081355932203
CUST1072,120.39999999999999,1,108,active,120.39999999999999,0.7716701902748414,120.39999999999999,130.07272727272724
CUST1073,837.35,1,353,cancelled,837.35,0.5083565459610028,837.35,595.9412952646239
CUST1074,266.15999999999997,1,1371,active,266.15999999999997,0.21025345622119815,266.15999999999997,78.34548387096773
CUST1075,788.5,1,549,cancelled,788.5,0.3993435448577681,788.5,440.8353391684902
CUST1076,1467.0,1,460,cancelled,1467.0,0.4424242424242425,1467.0,908.6509090909092
CUST1077,1519.11,1,1240,cancelled,1519.11,0.22741433021806856,1519.11,483.65433644859814
CUST1078,1282.08,1,992,cancelled,1282.08,0.26897568165070007,1282.08,482.7876787030213
CUST1079,1078.0,1,1689,active,1078.0,0.17770204479065238,1078.0,268.18792599805255
CUST1080,834.12,1,707,active,834.12,0.34048507462686567,834.12,397.6075746268657
CUST1081,341.04999999999995,1,170,active,341.04999999999995,0.6822429906542056,341.04999999999995,325.7505607476635
CUST1082,788.41,1,150,active,788.41,0.7087378640776699,788.41,782.286427184466
CUST1083,1616.16,1,766,active,1616.16,0.32272325375773653,1616.16,730.2013793103448
CUST1084,1032.49,1,1241,active,1032.49,0.22727272727272727,1032.49,328.51954545454544
CUST1085,506.14,1,967,active,506.14,0.27402402402402404,506.14,194.17232732732734
CUST1086,1515.28,1,1253,active,1515.28,0.22558714462299137,1515.28,478.55876390605687
CUST1087,1495.51,1,441,cancelled,1495.51,0.45285359801488834,1495.51,948.1459181141438
CUST1088,769.4,1,388,cancelled,769.4,0.48472775564409026,769.4,522.1293492695881
CUST1089,1538.3999999999999,1,740,active,1538.3999999999999,0.33031674208144796,1538.3999999999999,711.4229864253392
CUST1090,1158.8,1,32,active,1158.8,0.9193954659949621,1158.8,1491.5536523929468
CUST1091,135.0,1,849,active,135.0,0.30065897858319607,135.0,56.824546952224054
CUST1092,839.49,1,251,active,839.49,0.5925324675324676,839.49,696.3951136363636
CUST1093,1451.45,1,396,paused,1451.45,0.47963206307490147,1451.45,974.6267411300921
CUST1094,1555.56,1,895,active,1555.56,0.28968253968253965,1555.56,630.8659999999999
CUST1095,796.25,1,753,cancelled,796.25,0.32647584973166366,796.25,363.938953488372
CUST1096,187.23,1,246,active,187.23,0.5973813420621931,187.23,156.58679214402616
CUST1097,538.65,1,600,active,538.65,0.37823834196891193,538.65,285.23331606217613
CUST1098,1113.14,1,326,paused,1113.14,0.5282199710564399,1113.14,823.1758900144719
